sample_idx,has_hemorrhage,iou_hemorrhage,iou_background,mean_iou,true_positives,false_positives,false_negatives,true_negatives,sensitivity,specificity,precision,recall,dice
1020,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1021,True,0.473,0.994,0.7335,351,11,380,64794,0.4802,0.9998,0.9696,0.4802,0.6423
1022,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1023,True,0.7927,0.9989,0.8958,283,45,29,65179,0.9071,0.9993,0.8628,0.9071,0.8844
1024,True,0.0,0.9996,0.4998,0,0,29,65507,0.0,1.0,N/A,0.0,0.0
1025,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1026,True,0.0,0.9703,0.4851,0,0,1949,63587,0.0,1.0,N/A,0.0,0.0
1027,True,0.0,0.9986,0.4993,0,0,95,65441,0.0,1.0,N/A,0.0,0.0
1028,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1029,True,0.0,0.9944,0.4972,0,187,181,65168,0.0,0.9971,0.0,0.0,0.0
1030,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1031,True,0.1813,0.9954,0.5884,66,0,298,65172,0.1813,1.0,1.0,0.1813,0.307
1032,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1033,True,0.0,0.9986,0.4993,0,1,89,65446,0.0,1.0,0.0,0.0,0.0
1034,True,0.848,0.999,0.9235,346,38,24,65128,0.9351,0.9994,0.901,0.9351,0.9178
1035,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1036,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1037,True,0.0,0.9988,0.4994,0,0,80,65456,0.0,1.0,N/A,0.0,0.0
1038,True,0.0,0.9996,0.4998,0,0,25,65511,0.0,1.0,N/A,0.0,0.0
1039,True,0.7723,0.9974,0.8849,563,165,1,64807,0.9982,0.9975,0.7734,0.9982,0.8715
1040,True,0.0399,0.996,0.5179,11,0,265,65260,0.0399,1.0,1.0,0.0399,0.0767
1041,True,0.9364,0.9988,0.9676,1178,73,7,64278,0.9941,0.9989,0.9416,0.9941,0.9672
1042,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1043,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1044,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1045,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1046,True,0.7519,0.998,0.8749,403,115,18,65000,0.9572,0.9982,0.778,0.9572,0.8584
1047,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
1048,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
